what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1340830716793
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1340830716977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830723503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830725662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830825097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830830916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340830837733
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1340830837835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830839944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830840976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830843460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830844803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830846048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830946215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340830948876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831490146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831492447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831496666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831499897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831504699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831512676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831513768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831518308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831588601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831635183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831636721
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340831649179
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1340831649536
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1340831649705
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1340831649706
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1340831649709
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1340831649717
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1340831649717
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1340831649718
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1340831649718
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1340831649718
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1340831649719
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1340831649719
stopped,bundle,org.eclipse.cdt,6.0.2.201002161416,"org.eclipse.cdt",1340831649719
stopped,bundle,org.eclipse.cdt.doc.user,5.1.0.201002161416,"org.eclipse.cdt.doc.user",1340831649721
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1340997202438
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1340997202439
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1340997202440
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1340997202440
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1340997202466
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1340997202466
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1340997202467
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1340997202581
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1340997202581
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1340997202582
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1340997202582
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1340997202606
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1340997202606
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1340997202606
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1340997202607
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1340997202607
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1340997202608
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1340997202629
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1340997202640
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1340997202641
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1340997202641
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1340997202641
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1340997202652
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1340997202652
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1340997202670
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1340997202679
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1340997202685
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1340997202686
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1340997202687
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1340997202698
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1340997202699
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1340997202700
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1340997202718
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1340997202719
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1340997202734
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1340997202748
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1340997202748
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1340997202748
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1340997202771
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1340997202771
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1340997202772
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1340997202773
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1340997202774
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1340997202774
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1340997202774
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1340997202788
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1340997202788
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1340997202788
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1340997202789
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1340997202789
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1340997202789
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1340997202790
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1340997202790
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1340997202791
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1340997202791
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1340997202793
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1340997202793
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1340997202794
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1340997202794
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1340997202795
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1340997202795
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1340997202796
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1340997202796
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1340997202796
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1340997202797
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1340997202797
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1340997202798
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1340997202798
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1340997202800
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1340997202800
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1340997202800
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1340997202800
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1340997202801
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1340997202801
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1340997202802
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1340997202802
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1340997202803
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1340997202803
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1340997202803
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1340997202809
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1340997202809
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1340997202826
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1340997202826
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1340997202826
os,sysinfo,,,"macosx",1340997202834
arch,sysinfo,,,"x86",1340997202834
ws,sysinfo,,,"cocoa",1340997202834
locale,sysinfo,,,"en_US",1340997202834
processors,sysinfo,,,"2",1340997202834
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340997202834
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-10M3646",1340997202834
java.specification.name,sysinfo,,,"Java Platform API Specification",1340997202834
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340997202834
java.specification.version,sysinfo,,,"1.6",1340997202834
java.vendor,sysinfo,,,"Apple Inc.",1340997202834
java.version,sysinfo,,,"1.6.0_31",1340997202834
java.vm.info,sysinfo,,,"mixed mode",1340997202834
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1340997202834
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340997202834
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340997202834
java.vm.specification.version,sysinfo,,,"1.0",1340997202834
java.vm.vendor,sysinfo,,,"Apple Inc.",1340997202834
java.vm.version,sysinfo,,,"20.6-b01-415",1340997202834
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1340997202857
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1340997203159
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1340997203615
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1340997204560
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1340997207021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997224557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997230328
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340997232251
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1340997232730
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340997244571
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340997244634
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340997245083
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340997245386
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340997247494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997253982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997331574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997337403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340997337438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997339655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997342565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997358213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997435141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997444914
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1340997446426
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340997449975
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340997454835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997455688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340997455718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997458088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997461109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997509861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997512403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997545038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997545651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340997545688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997610360
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340997610753
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340997610827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997612843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340997612853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997617814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997619847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997746429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997753315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340997753327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997758472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997760425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997777876
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1340997780541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997780649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997814011
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340997817936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997865591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997971708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997974391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340997974423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997987082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340997995162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340998082052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340998085740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340998112916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340998129105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340998129115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340998164852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340998183001
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340998184970
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1340998185553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340998185711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340998188306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340998237535
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340998244238
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1340998244558
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1340998244700
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1340998244704
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1340998244708
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1340998244712
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1340998244714
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1340998244715
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1340998244715
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1340998244715
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1340998244715
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1340998244715
stopped,bundle,org.eclipse.cdt,6.0.2.201002161416,"org.eclipse.cdt",1340998244716
stopped,bundle,org.eclipse.cdt.doc.user,5.1.0.201002161416,"org.eclipse.cdt.doc.user",1340998244716
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1340998244717
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1340998244717
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1340998244718
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1340998244718
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1340998244718
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1340998244719
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1340998244719
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1340998244738
